UNIDADE,CRITERIO,ALINEA,OPORTUNIDADE DE MELHORIA,INSTRUMENTO,O QUE,COMO
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"b) a organização implementa controles de acesso físicos e lógicos à informação e aos ativos associados à informação que são por ela gerenciados ou custodiados, com vistas a proteger adequadamente a confidencialidade das informações não públicas e a integridade e a disponibilidade das informações consideradas críticas para o negócio.",Aperfeiçoar os mecanismos de controle de acesso lógicos aos dados,iESGo - TCU,Implantar em todos os ativos o controle de acesso lógico dos dados através de ferramenta adequirida,Levantar todos os Ativos e implementar os controles de acesso lógico aos dados
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) os controles de acesso implementados na organização aplicam o princípio ‘necessidade de conhecer’, o qual prescreve que deve haver necessidade legítima que justifique o acesso à informação por pessoa, sistema ou entidade, bem como o princípio ‘privilégio mínimo’, o qual estabelece que o perfil de acesso concedido deve incluir tão somente os poderes necessários para o atendimento das legítimas necessidades.",Aperfeiçoar os mecanismos de controle de acesso de gerenciamento de identidade,iESGo - TCU,Implantar em todos os ativos o controle de acesso através de ferramenta de gerenciamento de identidade adequirida,"Levantar todas as pessoas, sistemas, bancos de dados Ativos para  implementar os controles de acesso minimo"
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"e) a organização analisa criticamente, a intervalos regulares, os direitos de acesso lógicos e físicos existentes, com vistas à remoção de direitos que deixaram de ser necessários e para assegurar que privilégios indevidos não foram obtidos.",Identificar a necessidade de controle de acessos automatizados,iESGo - TCU,Implementar um processo de integração automatizado para bloquear todos os acessos do colaborador no momento de seu desligamento. ,"Integrar soluções da gestão do RH com as ferrementas que são acessadas pelo colaborador ex: AD-Active Directory, Gmail, CyberArk e outros exitentes"
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"b)(NOVA) a organização informa em seu sítio eletrônico as hipóteses em que, no exercício de suas competências, realiza o tratamento de dados pessoais, bem como fornece informações claras e atualizadas sobre a previsão legal, a finalidade, os procedimentos e as práticas de tratamento que utiliza.",Aperfeiçoar os processos da MTI à LGPD,iESGo - TCU,"Disponibilizar o portal LGPD para todos os colaboradoes, terceiros, temporarios  e fornecedores da MTI","Publicizando todas informações, politicas, normas e regulamentos atualiazados no Portal de LGPD da MTI"
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,g) a organização executa regularmente testes de segurança em seu ambiente de TI (detecção de vulnerabilidades e testes de penetração).,Prever os testes no Processo de Segurança,iESGo - TCU,"Estabelecer o processo sistemático e controlado que visa identificar e avaliar vulnerabilidades, ameaças e riscos em sistemas, redes, aplicativos e infraestrutura de TI","Simulação de ataques;
Análise de políticas de segurança; 
Revisão de códigos-fonte;
Testes de penetração."
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"d) a organização mantém, monitora e analisa logs de auditoria dos ativos de software, de hardware e de rede críticos para o negócio.",Estabelecer o processo de observabilidade de Logs,iESGo - TCU,Disponibilizar Plataforma de observabilidade e monitoramento dos ativos de TIC,Implantação da Plataforma de Observabilidade
UGARQ,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) o processo de software da organização promove desde a concepção a identificação de requisitos de acessibilidade e de usabilidade, bem como a gestão permanente desses requisitos durante todo o ciclo de vida do software.",Evoluir o processo de software para fortalecer a identificação dos requisitos de acessibilidade e a usabilidade,iESGo - TCU,Criar template com a utilização do lighthouse para análise automática de acessibilidade das páginas no processo de integração contínua pelo gitlab,Implantação na esteira de desenvolvimento
UGARQ,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) o processo de software da organização promove desde a concepção a identificação de requisitos de acessibilidade e de usabilidade, bem como a gestão permanente desses requisitos durante todo o ciclo de vida do software.",Evoluir o processo de software para fortalecer a identificação dos requisitos de acessibilidade e a usabilidade,iESGo - TCU,"Criar template com implantação do playwright para teste fim a fim, para garantir que a página funiona como planejado (Implantar no template de frontend - React)",Implantação na esteira de desenvolvimento
UGARQ,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) o processo de software da organização promove desde a concepção a identificação de requisitos de acessibilidade e de usabilidade, bem como a gestão permanente desses requisitos durante todo o ciclo de vida do software.",Evoluir o processo de software para fortalecer a identificação dos requisitos de acessibilidade e a usabilidade,iESGo - TCU,Ampliar o uso do Sentry para monitoramento das aplicações,Implantação do código fonte das aplicações
UGARQ,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) o processo de software da organização promove desde a concepção a identificação de requisitos de acessibilidade e de usabilidade, bem como a gestão permanente desses requisitos durante todo o ciclo de vida do software.",Evoluir o processo de software para fortalecer a identificação dos requisitos de acessibilidade e a usabilidade,iESGo - TCU,Ampliar o uso do sonarqube para análise automática da qualidade dos códigos fonte,Implantação na esteira de desenvolvimento
UGVEN,Gestão de Tecnologia da Informação e da Segurança da Informação,d) são formalizados ANS contendo metas de nível de serviço acordadas com representantes das áreas de negócio clientes.,Disponibilizar as informações de ANS mensalmente aos clientes junto com faturamento no Infocenter,iESGo - TCU,"Dispnibilizar relatório do ANS contratado ao cliente, mensalmente","Através de Relatórios de ANS, disponiblilizados mensalmente aos clientes"
UGENP,Gestão de Tecnologia da Informação e da Segurança da Informação,"d) a organização assegura os seus direitos autorais, de propriedade e de uso relativamente ao software que desenvolve por meio de contratação.",Buscar auxílio para promover o registro da propriedade de software,iESGo - TCU,Propriedade de Software,"Celebração de Termo de Cooperação com a UNEMAT/AGINOVA para estudo, levantamento, consultoria e registro de propriedade de software, dos produtos oriundos das Parcerias Estratégicas da MTI"
UGOFF,Gestão Orçamentária,f) os recursos para desdobramento da estratégia da organização são aplicados conforme o orçamento disponibilizado.,Participar efetivamente na elaboração do PTA desde o início - Antes da definição do teto orçamentário,iESGo - TCU,"Alinhar com a Gerência de Unidade de Gestão de Apoio a Governança, responsável por aplicar a metologia de elaboração dos Programa de Trabalho Anual - PTA na MTI, o acompanhamento do processo.","Reuniões com a Diretoria, juntamente com a Unidade responsável pelo Planejamento (UGGOV). Acompanhamento e sugestões quanto as validações dos naturezas de despesas."
UGPES,Capital Intelectual,"02 - Os conhecimentos externos (referenciais comparativos da Administração Pública ou privada, mercado) são registrados e divulgados.",Implantar Diretrizes para Educação e Troca de Experiências no Âmbito da MTI,IMGG - GOV BR,Disseminação de Conhecimento ,"
Cada multiplicador será responsável por organizar uma atividade ou evento de multiplicação de conhecimento;
Os multiplicadores poderão escolher a metodologia de ensino que considerem mais adequada para a transmissão do conhecimento adquirido;
Os multiplicadores deverão adaptar a linguagem e o conteúdo programático, elaborando cronogramas e materiais de apoio como textos, apostilas, apresentações de slides e vídeos ou até mesmo indicar bibliografia, a fim de proporcionar melhor compreensão e aplicação do conteúdo para os participantes.
Os multiplicadores deverão incluir a atividade a ser realizada no plano de capacitação anual da MTI.
"
